gene,SNPs,hits,Z,top_candidate_p,Z_pVal
16038,9,0,0.5650243169792799,1.0,0.5552598159935263
16039,9,1,1.6464752898794681,0.08648275251635919,0.14250420231897443
16040,12,0,1.6287712993087284,1.0,0.18114201484470582
16041,8,0,0.5433086541655158,1.0,0.5511995198790474
16042,1,0,,1.0,
16043,49,0,2.4360539946810884,1.0,0.3205915977470881
16044,54,0,2.4554727403082737,1.0,0.3558671376320146
16045,9,0,1.2013142203910572,1.0,0.2837142057229829
16046,10,0,0.1377774568041827,1.0,0.7404223316511793
16047,75,0,1.9550535797184314,1.0,0.6368660978931173
16048,56,0,2.335741596731147,1.0,0.40645093096900187
16049,16,0,2.288584160501016,1.0,0.07691771601249009
16050,11,0,0.34636605548458177,1.0,0.6716611869362508
16051,11,0,1.5940003455986504,1.0,0.17933718563847922
16052,5,1,2.581541919558754,0.049009950100000046,0.008899593128103511
16053,41,0,1.937596785357472,1.0,0.4006799495971963
16054,58,0,1.6003799269232364,1.0,0.6386094153170422
16055,83,0,1.5357665887667404,1.0,0.767129909384276
16056,57,1,1.2040328872504609,0.43609480954761237,0.7381198191642557
16057,1,0,,1.0,
16058,1,0,0.6613915826021377,1.0,0.3861939391927578
16059,1,0,-0.005836975684065157,1.0,0.7033417854622979
16060,3,0,,1.0,
16061,1,0,,1.0,
16062,1,0,,1.0,
16063,27,0,0.3968477167911346,1.0,0.7848604503616832
16064,26,1,1.7537418117964714,0.2299568541948449,0.3054531908815654
16065,29,1,2.7941004883896117,0.2528279056684038,0.08542695236221887
16066,40,0,1.4565099071723295,1.0,0.5512205997047308
16067,1,0,,1.0,
16068,1,0,,1.0,
16069,1,0,,1.0,
16070,2,0,0.3656536626792922,1.0,0.5458933504890623
16071,2,0,,1.0,
16072,51,2,2.787606643221287,0.0924908992936952,0.24345824572675123
16073,60,1,1.7610590789252885,0.4528433576092388,0.6054187171684196
16074,76,0,1.7117808864229551,1.0,0.7020260366329969
16075,44,0,0.9868164519121106,1.0,0.7249632271453293
16076,67,0,2.429373955250545,1.0,0.4589045421710931
16077,46,0,3.999264943778313,1.0,0.03587571884212437
16078,72,2,2.7374002798298167,0.16228763316280945,0.4061335247601702
16079,22,0,1.135496681998227,1.0,0.4838535100188135
16080,74,0,1.8439641961602684,1.0,0.6604135978720742
16081,142,0,2.1581850561127136,1.0,0.7861531090249958
16082,103,0,1.9664275124754487,1.0,0.7405192109005155
16083,50,1,1.1491534407591781,0.39499393286246365,0.7156810482306483
16084,47,0,1.3949768599572505,1.0,0.6261492855831695
16085,1,0,-0.09086629978610081,1.0,0.7385733888349377
16086,1,0,-0.12711467918393135,1.0,0.7529114000360917
16087,1,0,-0.047456696024704904,1.0,0.7208574459468685
16088,29,1,1.4859708138800591,0.2528279056684038,0.4325257816056677
16089,1,0,1.1510510985877542,1.0,0.18581061115985642
16090,9,0,1.4496262696050182,1.0,0.19787545961772657
16091,23,0,1.9367361133588519,1.0,0.2160208342975497
16092,6,0,0.0027667215304717496,1.0,0.7524901275096662
16093,24,0,0.46033663343207654,1.0,0.7467643472600481
16094,2,0,,1.0,
16095,1,0,-0.08816106197151272,1.0,0.7374864556851639
16096,1,0,,1.0,
16097,3,0,1.8160944880002865,1.0,0.05595686549699108
16098,1,0,-0.6224959991029704,1.0,0.9023274668851182
16099,47,0,2.323832922007649,1.0,0.33592385424233817
16100,41,0,2.0332256287578105,1.0,0.3701291821840794
16101,31,0,1.7283686677853896,1.0,0.36925670757317053
16102,26,0,1.8627422549813242,1.0,0.2704853028531272
16103,40,0,2.2972827116425254,1.0,0.28130187637442217
16104,68,1,3.1489659884678645,0.49511411121293036,0.27458964073841996
16105,66,0,3.450430948306071,1.0,0.19634722992411424
16106,63,1,2.205149500435305,0.46909445704488684,0.4963050891275649
16107,79,0,2.763281908966387,1.0,0.4420296761418685
16108,60,1,3.471326021865684,0.4528433576092388,0.1580969975065234
16109,81,0,1.1513714513668296,1.0,0.833006101463055
16110,68,0,1.825650033024307,1.0,0.6344061648749679
16111,91,0,2.2385607043919147,1.0,0.6386977157422089
16112,31,0,1.2161850247585715,1.0,0.5509676893591099
16113,89,0,1.9961019562648128,1.0,0.6881001742935157
16114,152,1,1.9857108868714672,0.7829551033271924,0.8255397421988633
16115,196,0,0.536776095406193,1.0,0.9687645729357547
16116,135,2,1.6867554506179796,0.39140002037612076,0.8479854725007131
16117,34,1,0.5317209162254856,0.2894467727277079,0.7889388883212051
16118,4,0,0.8975878814263312,1.0,0.3298699829032319
16119,33,1,1.7387291163924643,0.28226946740172515,0.3870031553518616
16120,91,1,1.8513907605120337,0.5993153470484595,0.7274944246992915
16121,33,1,0.7748469050185882,0.28226946740172515,0.7150755492133658
16122,42,0,-0.1458901925586229,1.0,0.9334063821705989
16123,54,0,1.8535367943799042,1.0,0.5369998013972541
16124,136,4,3.5531258852498597,0.048430051283883384,0.48342018545105636
16125,64,4,3.594027329838891,0.003943523776313496,0.15827278114033905
16126,83,0,3.1298233034816585,1.0,0.3696701265856134
16127,31,0,0.9979865795346324,1.0,0.6273700470005701
16128,6,0,0.5366881238769581,1.0,0.5256204560113871
16129,49,2,3.362218054488642,0.08641059140541361,0.11513302283799498
16130,60,1,3.147773849143745,0.4528433576092388,0.22299910097703757
16131,74,1,2.909904747189711,0.524659957994293,0.37280078354887436
16132,59,2,2.4844637402783976,0.11793950109437501,0.38624764350075036
16133,82,0,2.9155118270947895,1.0,0.4190491689200615
16134,66,0,2.497948800815914,1.0,0.4326829562776565
16135,91,5,5.550323698268348,0.0022819350657385337,0.03706625551366294
16136,37,2,1.8516660969629604,0.05287802345257978,0.3900317026715765
16137,48,1,2.8584268967500392,0.3827098590577121,0.2043073735754486
16138,38,0,0.8569767277839921,1.0,0.7244055938297249
